,sentence,sentiment,sentimentprob
20,"Получил кредитку, сказал курьеру отключить все платные услуги и страховки по карте",?,0.46265061970179033
21,Добрый день! Выражаю свою признательность за профессионализм сотруднику банка - Главному клиентскому менеджеру Д-ву Дмитрию,+,0.8285898981525378
22,"По итогу начали служебную проверку в отношении сотрудника, также было написано заявление в МВД по ЦАО",−,0.4319269419668007
23,Пользуюсь услугами банка давно и до последнего момента был доволен,+,0.781457693896872
24,"02.08.2021 я передал в ПАО Сбербанк заявление о приеме к исполнению исполнительного листа ФС№ 03***82, для взыскания денежных средств в размере 214906,50 руб",−,0.5591796874041037
25,Я являюсь клиентом банка Открытие на протяжении 1 месяца,?,0.49011152687389736
26,"Взял потребительский кредит в Совкомбанке, за который при полном погашении долга и соблюдении условий банка, возвращаются проценты",+,0.4588171977605018
27,"Столкнулся с проблемой, страховки",−,0.7386588335277823
28,"У меня была карта Восток, банка Восточный, после того как последний стал частью Совкомбанка, карта стала Халвой",?,0.49495952894872147
29,"С банком с 2020 года, но менять не собираюсь",−,0.4685957248692779
30,14.02.2022г на счет моей матери 408179**************11 ( я являюсь доверенным лицом по данному счету) Г-ич Альбине М,−,0.4623455378699933
31,Здравствуйте,−,0.7344071078034723
32,Пытаюсь продлить страховой полис,−,0.4926715310217567
33,Прошу проверить звонок от 01.07.2022 в 17:58 (самарское время) с номера 89******** на номер 88002000000 и наказать сотрудника по всей вашей строгости,−,0.6873243219014403
34,Я взял 31.07.2022 я взял автокредит в диллерском центре Джили в городе Иркутске,?,0.4876557620509364
35,"Раньше в моём городе был банк Золотое кольцо Урала потом он вошёл в МКБ,оттуда я и узнал про него",−,0.5315728105034353
36,25 марта 2022 я отправила SWIFT перевод близкому родственнику в Грузию﻿30 марта 2022 пришло сообщение от банка Тинькофф с просьбой уточнить реквизиты банка корреспондента31 марта 2022 я предоставила Тинькофф данные банка корреспондента4 мая 2022...,?,0.5835917558297979
37,Мы все часто забываем очевидные вещи..,+,0.3932576969325025
38,14 октября 2022 года срочно понадобилось перевезти крупную сумму в другой банк,−,0.5561213482785065
39,"Проблемы с которыми пришлось столкнуться и часть из которых оказалась не решена: Неправильный расчёт процентов по накопительному счёту.Необоснованное списание средств за смс информирование по карте, которого не подключал",−,0.8118647992354221
40,"Сегодня полдня в ВТБ не работает СБП, звоню в банк с вопросом в чем дело и когда заработает СБП",−,0.7687107057184271
41,Добрый день у меня проблема положил деньги в банкомат он их взял и завис обратились в поддержку оставили заявку нам ответили в смс ждите с 04.01.22 до 16.01.22 наступила дата решения прислали еще смс продлено до 25.01.22 я не понимаю в чем проблема...,−,0.5653261642868167
42,Оплатила ЖКХ 8 ноября через Сбербанк онлайн и попыталась распечатать бумажное подтверждение платежа,?,0.42652679343938116
43,"Хороший банк, на 4 из 5, но 5 я бы никому не поставил в РФ",−,0.42126041483952403
44,"01.09.2021 года я подал заявку на оформление дебетовой карты на сайте банка, при входящем звонке от сотрудника банка выяснилось, что у банка нет данных о коде подразделения отдела милиции моего паспорта",−,0.7712899335345139
45,После перевыпуска дебетовой карты попытался привязать её к имеющимся у меня платёжным системам,−,0.4295437926194866
46,"Я хочу выразить своим отзывом благодарность сотруднику ""МТС - Бснка"" в г",+,0.7166163866397773
47,"Приветствую  Не хотел писать этот отзыв но придется, накипело",−,0.7714983399517821
48,"Хотел написать заявление в полицию по факту хищения средств со счета в МТС банке, на просьбу предоставить платежку или справку о том куда ушли мои деньги - сотрудники техподдержки сообщили что они этого делать не умеют и не будут и предложили...",−,0.9820063575530369
49,Работники юр.отдела банка терроризируют меня долгое время телефонными звонками в связи с кредитом не мою взятым,−,0.7676464497408603
50,я стал премиальные клиентом Бкс,?,0.44937105771451474
51,Система поддержки пользователей на нулевом уровне,+,0.5119075837186633
52,"Верный своей манере, начну издалека",−,0.47129372217766025
53,11.10.2021 получил предложение об открытии брокерского счета в Альфа-Инвестициях через приложение Альфа-Банк,?,0.3777643767230965
54,"Не так давно пользуюсь Совкомбанк, нравятся продукты банка",−,0.516479897875091
55,30.12.21 вечером я начал переносить данные на свой новый смартфон,−,0.49601385441261703
56,"Банк привлёк самыми удобными условиями по накопительному счёту - в июле ставка была сопоставима по вкладам, где выплата в конце срока, отсутсвие капитализации и большая длительность Здесь же ещё увеличивают ставку для активных пользователей карты...",+,0.43471153095859866
57,Добрый вечер,?,0.379749939792007
58,"В начале июня попытался оформить здесь дебет в приложении, но получил отказ, без объяснения причин, попытался сделать через сайт - результат один, мне отказывали",−,0.4973592487032891
59,"Решила переоткрыть свой вклад на новых условиях, что бы не ехать в отделение",−,0.5891690267952484
60,"Стал клиентом МКБ почти десяток лет назад, совершенно случайно: их банкомат был в магазине рядом с домом в Долгопрудном, куда я тогда переехал жить",−,0.5705355620496588
61,Мне нужно получить справку из банка с подтверждением суммы на банковском счете в оригинальном виде,−,0.3845004684520164
62,Добрый день! Контакт центр Сбербанка создали обращение,−,0.5659593339663541
63,"Не могу войти в мобильный банк в течение получаса, нужно сделать срочную оплату",−,0.6010884639988611
64,В конце августа решила воспользоваться услугой от домклик и направить документы на распоряжением материнским капиталом на погашение части ипотеки напрямую через банк электронно,−,0.4533916714694782
65,"16.08 я получила инвойс из Швейцарского банка, на оплату мне выделили 10 дней",?,0.4571804564105491
66,Несколько лет в ОТП как ИП и как физ.лицо,?,0.35050339473212894
67,Являюсь клиентом данного банка,+,0.41287056038337777
68,"Третий год, пользуюсь банком, всё устраивает, были разногласия, но всё урегулировали оперативно быстро и без затрат..",+,0.969685131053952
69,Здравствуйте.Не получается самостоятельно зарегистрировать интернет-банк через форму саморегистрации на офф,+,0.3466414096321026
70,Пишу отзыв об оперативной работе технической поддержки,−,0.7820363508476825
71,"По моему мнению чат банка работает не для решения проблемы клиента, а чтобы он отстал",−,0.9642223799148112
72,Услугами банка я пользуюсь более 18 лет,+,0.49310886082588484
73,"на 28 февраля были заказаны денежные средства в офисе 7701 (Румянцево) в долларах и евро, купленные более года назад и находящиеся до этого на брокерском счете",?,0.403538527709044
74,"Обратился в отделение банка Краснополянский пр., 2, Лобня, Россия ТЦ Поворот   с заявлением на снятие 400 USD, которые у меня лежат на простом счете довольно давно",+,0.3398052977335922
75,"Отношение банка к премиальным клиентам и придумывание условий на ходу из воздуха, которые не соответствуют заявленной информации",−,0.896750112486795
76,Изначально хочу поблагодарить администрацию ЮMoney за то что они быстро решили мою проблему по номеру обращения — ,+,0.6476169810424963
77,Я попросил техподов – я не смог найти кнопку закрыть счет и попросил закрыть,−,0.891090307277931
78,"Здравствуйте, сегодня произошла очень неприятная ситуация",−,0.7079870028139171
79,"Никогда не думала, что буду писать негатив про ВТБ",−,0.8187531472722525
80,"21 марта 2022 волею судеб пришлось столкнуться с банкоматом (N 377190) этого Банка, который присвоил мои личные денежные средства, не выдав сдачи",−,0.8103638698739278
81,"27.09 приходил открыть текущий счёт для оплаты страховки, попал на обслуживание к сотруднице - Д-ко Натальи",+,0.7326688864623445
82,"Добрый день, ранее я являлась зарплатным клиентом вашео банка, но уже в январе 2022 года все счета и продукты вашего банка у меня были закрыты",?,0.504317663753399
83,"Худший банк из тех, с которыми пришлось взаимодействовать",−,0.6165431962554534
84,"Обновили сайт, сделали ещё более кривым, чем было",+,0.5538144558721355
85,"ЦБ РФ, Генеральной прокуратуре и иным органам, которые курируют банковский сектор, необходимо обратить особое внимание на эту финансовую организацию, ибо невозможно назвать это банком",−,0.8441885778129441
86,"Решил сделать вклад, в связи чем и оформил карту на сайте банка",?,0.782350148210433
87,"17.10 позвонила в совком 8(985)491*** попросила сделать пролонгацию СЖ, при переводе на профильного сотрудника мне не ответили, поэтому составили обращение и мне должны били перезвонить, ждала сутки 18.10 звоню опять, якобы обращение было...",−,0.8035706260735429
88,Обратился в онлайн чат банка в 11-17,−,0.4100918061841579
89,Ситуация такая: 16 июля в не банковский день через мобильное приложение была попытка отправить платёж  по реквизитам посредством платёжного поручения,−,0.48530711300091434
90,Второй год подряд проблема с получением справки для госслужащего,−,0.40472910019742214
91,Сегодня 13.06.22 пытался снять евро в банкоматах Москвы и области Тинькофф,+,0.3718809033236406
92,Кратко: банк не начислил проценты за размещение денежных средств на накопительном счёте,−,0.8460112639389524
93,"Долго удивлялся очень хорошему курсу обмена в мобильном банке, завёл накопительный счёт в долларах..",−,0.4532002828887609
94,"Обратилась в офис Сбербанка 15.08.2022 для того,чтобы мне разморозили счет,процедура банкротства завершилась 28.07.2022.Обратилась в отделение г.Ростов-на-Дону ул.Волкова 9Б,окно номер 2.Время обращение около 11 часов утра.Мне сказали,что...",−,0.7164095695587746
95,"Мы несколько лет сотрудничаем с банком ВТБ, сейчас с ними работает персональный менеджер К-ик Наталья",+,0.7494588548799203
96,"Я заказала 08.09.2022 сертификат Магнит Косметик на 500 рублей по программе ""Мультибонус"" от ВТБ",−,0.5044508867204027
97,"Всем привет!  1.Начну с поддержки пакета Premium: это фикция! Поддержка там оперативная только моральная: да, перед вами извиняться, да, вас выслушают",−,0.6167430304942871
98,"Позвонила в банк за поддержкой, сначала объяснила одному сотруднику, который вообще меня не поняла, перенаправила меня к другому, тот тоже развел руками ссылаясь на закон «о банковской тайне», а теперь, внимание, карта банка использовалась в...",−,0.8486279216424506
99,Делала крупную покупку 2 частями в магазине партнере,−,0.5115714397523543
100,Пользуюсь услугами данного банка нечасто,+,0.6738913657231956
101,26.02 у меня произошло двойное списание денежных средств после заправки на Газпромнефть,−,0.6814878723964459
102,Мой квест начался 19 апреля,−,0.4801915677709224
103,"Не дозвониться на горячую линию! Сначала все операторы заняты, ждёшь ответа оператора, потом и вовсе сбрасывают звонок",−,0.8656298985665689
104,Прошу руководство Тинькофф банка произвести награждение сотрудницы горячей линии и выразить ей глубокую благодарность клиента банка,+,0.7716437948148562
105,"Получил информацию о возможности компенсации прохода в бизнес-зал после отключения PRiority, но не внимательно изучил полные требования и условия, и сделал не совсем так, как предписано, т.к",−,0.7294743173674036
106,"Выражает благодарность за оперативное открытие расчетного счета и проведения консультаций - менеджеру дополнительного офиса РОСТОВСКИЙ ПАО ""МТС-банк"" С-ой Екатерине",+,0.6565481758540384
107,"Летом открыла счет с дебетовой картой в УБРиР, и всё вроде бы ничего (в данном случае цель оправдывала неудовлетворенность некоторыми сторонами взаимодействия с банком - в целом я была скорее довольна), пока не случились проблемы с платежами",+,0.5161811023034142
108,Имели опыт ипотеки в этом банке,−,0.529933436774522
109,"Ежедневно названивает по 20-30 номеров,каждый номер в нет контакте подписан  ""Почта банк коллекторы""",−,0.8304270274274324
110,29 октября положили деньги через банкомат №398920 в районе 21:00,−,0.5738658636168756
111,"Всегда очень любила Сбербанк, но в последнее время разочарована",+,0.6327002354469252
112,Таких проблем с перевыпуском карты я ещё не встречал,−,0.6849399585445808
113,"Зашел в городе Давлеканово в местное отделение Уралсиба выяснить почему с меня удерживают лишние деньги, берут два раза в месяц за обслуживание банковского счета, берут деньги за перечисление денег в налоговую",−,0.7642614611820513
114,"21 декабря, друг прислал Реферальную ссылку",?,0.42310698690094517
115,"Здравствуйте, Некоторые разделы приложения банка не работают в течение длительного времени - в частности кэшбэк за покупки, и мне представляется само приложение работает не правильно - не учитывает квалифицированные покупки",−,0.8099328567845367
116,"Все круто, я уже несколько лет в Тиньков банке, банк просто круть, и бонусы и реальный кешбек.Сейчас думаю подключить Вашу систему ТиньковпроЯ в принципе и знакомым всем советую, и супруга потихоньку на Тиньков переходит, родители также перешли на...",+,0.4560521488196694
117,Ситуация следующая,?,0.523943475963161
118,Добрый день! Хочу поделиться впечатлениями о моем визите в отделение МТС Банка в г,+,0.3888571009828375
119,"https://i.ibb.co/G2r4GW7/w-UHi-ZHCE4k-Q.jpg Клиентом данного банка не являюсь, но столкнулся с ним в связи с взысканием в нашу (мою и супруги) пользу по выигранному делу против застройщика",−,0.5547227777229078
120,"Здравствуйте! Сказать, что я в шоке- ничего не сказать",−,0.8920993263336088
121,"Здравствуйте! Все началось не очень круто, но все хорошо, что хорошо кончается",+,0.46882563339357913
122,"обращение 25710361, не мог оплачивать пластиковой картой в магазине, проблему решили быстро, большое спасибо сотрудникам тех.поддержки Юмани! Всем рекомендую Юмани и всех благ! По вашей карте 2155 была зафиксирована подозрительная активность...",+,0.8622282285695461
123,"Мы с мужем являемся клиентами банка ВТБ.В этом банке у нас ипотека.Платим вовремя ,без просрочек.Подключили в Сбере услугу об изменениях в кредитной истории.Так вот,банк ВТБ каждый месяц регулярно запрашивает наши кредитные истории.Звонила уже...",−,0.6594618293338368
124,Всем доброго времени суток,+,0.3875080503778476
125,"До сегодняшнего утра 31.03.2022 г был лучшего мнения о Сбербанке! Если вкратце, как выяснилось из ответа - Банку нет разницы если у клиента был изменён адрес регистрации! Ссылаясь на то что изменений не было обнаружено, хотя я снимал большие суммы...",−,0.8995413908375951
126,25 февраля 2022г хотел снять деньги со счета и вклада,−,0.5329654984736126
127,"Мой счет перевели из ВТБ в Альфу в рамках каких-то внутренних договоренностей и это очень печально, т.к",−,0.38462364568580043
128,"Здравствуйте, 26.10.21 года подал в ваш банк заявление от взаимодействия с третьими лицами",−,0.6579598496281349
129,"Долго выбирал автомобиль и банк, где можно оформить автокредит",−,0.4655969559204367
130,"В понедельник 12 сентября поехал в отделение Ак Барс банка в ТРК Тандем, чтобы досрочно погасить ипотеку на большую сумму",?,0.5669244727894511
131,"Добрый день! Хочу поблагодарить сотрудника банка за понимание, умение войти в положение клиента и своевременно ему помочь",+,0.8737647196732277
132,Обратился в Россельхозбанк ДО 1326 г,?,0.6286879474468816
133,Несколько лет имею дело с Тинькофф,+,0.6621375826090452
134,"Пару слов о банке #Тинькофф, а именно о его сервисах",+,0.6562070925307905
135,"Около месяца назад нужно было сделать покупку на 200 000 руб, подумал о кэшбеке, изучил предложения, в Альфа банке получалось 2%, мало, но хоть чуть-чуть отбить сумму хотелось",−,0.46872263159261257
136,Всем Здравствуйте! Вот такой случай произошел у нас с банком,−,0.49202991822942777
137,Ну что сказать этот банк регулярно убирает плюшки на этот раз убрали из сервисов кино и Культура с моего города,−,0.4353562732087433
138,"В сентябре 2021 не посчастливилось открыть в РСХБ специальный счет ЭСКРОУ для сделки по покупке недвижимости, счет открыла в Москве и счастливо уехала домой в СПб",−,0.48462438350960296
139,"Около года назад я стал премиальным клиентом Открытия, так как условия программы были просто отличные - 3% кешбек на все покупки, 12 проходов в бизнес-залы в год, страхование путешественника и т.п",+,0.48986006680810823
140,"Добрый день! 18.12.2021 за бонусы Спасибо были куплены лотерейные билеты (""Русское лото"") в кол-ве 10 шт",?,0.5376598227240286
141,"До настоящего времени, не можем возвратить денежные средства моего доверенного лица, которому отказали в повышении лимита снять наличных",−,0.90496278823179
142,"Цель этого отзыва - предупредить о возможных проблемах с ВТБ в случае, если когда-то раньше вам не посчастливилось быть клиентом банка",−,0.6947828913824722
143,Вечер добрый! Меня угораздило вляпаться в Экспобанк и открыть там вклад,?,0.37058066233308384
144,14 октября 2021г,−,0.7050153650260719
145,1.02.2022 в офис по адресу г,?,0.652042309763226
146,"К сожалению, уже пять дней невозможно открыть счет ""Ренкопилка""",−,0.8940383243010379
147,"Добрый времени суток! Прошу официально об’яснить почему мне дали не 4 месяца бесплатного обслуживания счёта, а всего 2 месяца! Хотя в акции написано при открытии ИП через Тинькофф, выдаёте до 4х месяцев бесплатного ведения счёта! Поделился...",−,0.8374148003712272
148,Не могу снова не отметить замечательную работу группы поддержки Тинька,−,0.6980428408205684
149,"19.10.2021 - Через личный кабинет в Интернет-банке был открыт ВПЕРВЫЕ(это важное условие акции) Накопительный счет «Промо» по ставке 7,5%",?,0.46122683947666065
150,"Привет Банки.ру, пишу отзыв о самом худшем банке, с которым мне когда-либо приходилось сотрудничать! Начнем с того, что ранее я брал кредит в Русфинансбанке, который упразднили и в последствии передали мой счет в Росбанк",−,0.7163177355344015
151,В начале сентября мною была подана заявка на карту СберKids,?,0.7264907658296919
152,"Здравствуйте! Опасайтейсь даже подавать заявку на кредит, иначе заимеете минус к своему кредитному максимому у других банков на сумму которую без вашего ведома откроет вам тинкофф",−,0.6544392647295905
153,Неделю не работает платная подписка от Сбера,−,0.8577682084591484
154,"Всем привет! Давно собирался написать отзыв о Тинькофф и вот наконец-то дошли руки!  О Тинькофф Банке я узнал давно, несколько лет назад, друзья, родственники и коллеги все наперебой рассказывали о новом банке, выгодных условиях, кешбэке и всем...",+,0.5588319846137079
155,Перестали приходить 3ds-коды авторизации при онлайн-покупках по карте,−,0.611463561880084
156,"Задумка хорошая, исполнение отвратительное.Сложилось впечатление, что в Цифре работают вчерашние 9-классники, закончившие бухгалтерские курсы",+,0.6395444703806421
157,"Хочу выразить благодарность сотрудникам офиса ВТБ по адресу г.Нижний Новгород, пр.Ленина,111 за профессионализм, а именно - за помощь в устранении ошибки в приложении ВТБ-онлайн (тех ошибка при открытии вклада)",+,0.9326046338541973
158,Добрый день! Обратился в колл центр с жалобой на невозможность перевести деньги через СБП,?,0.44430892640628816
159,"Добрый день всем! Хочу выразить благодарность ХКБ и представителямбанка, работавшим на сайте Banki.ru с 30 марта с 8 часов утра по 31 марта до 9:30",+,0.4764027598410628
160,"02.12.2021 я через сайт тинькофф, раздел платежи, оплатил ЖКУ Москвы по карте стороннего банка",?,0.5766264687430601
161,"Я уже 1000 раз пожалела, что связалась с этим банком! Никакой клиентоориентированности! Подали заявку на автокредит! Выбрали машину! 3 дня ждали что со мной свяжется специалист и расскажет наши дальнейшие действия! Сначала сказали ждите до 6! Не...",−,0.9097083059188666
162,"Я клиент банка уже больше года, но я и не подозревала, как пополнять карту онлайн",−,0.6684178228530291
163,"15.09.2022 я внёс на карту МИР, которая по заверению банка ВТБ работает только с рублёвой системой, 1 млн рублей, банк сконвертировал сумму в евро",−,0.6416154487473694
164,"Добрый день !банк работает как захочет, деньги зачисляют как левая пятка зачешется (судя по остатку на моем счету).суммы до 4000 рублей",−,0.635303903372544
165,"Я - давний клиент «Альфа-банка», уходила-приходила, в целом, было неплохо, особенно по сравнению с другими банками",+,0.46357312526007616
166,"Столкнулась с такой же проблемой при оформлении накопительного счета ""Управляй процентом"" выдавалась бесплатная дебитовая карта для оперирования счётом, что конечно, очень приятно",+,0.463719949252384
167,Всем здравствуйте! Хочу поделиться историей и оставить жалобу на сотрудников call-центра Альфа Банк,−,0.5670158286503347
168,"Перед поездкой в другую страну совершил себе несколько переводов через Юнистрим с карты Росбанка, чтобы приехать и получить наличные",?,0.42429975029237715
169,Моя несовершеннолетняя дочь является наследницей по вкладам в банке Тинькофф,+,0.5436174396237785
170,"Я, П-ко Елена Е., являюсь должником по исполнительному производству №51****/20/***18-ИП (94****40) от 13.04.2020г.",?,0.38432759401319194
171,Банк начал слать кучу смс с рекламой своих продуктов,−,0.6800649092167993
172,"Утром  06.08.22  посетил Сокольническое отделение (г.Москва), открыл там счёт и уточнил также условия по открытию вклада",+,0.6236334426547768
173,"Хочу выразить искреннюю благодарность сотруднице Совкомбанка, старшему специалисту Наталье",+,0.9191139870211583
174,27.10.2021 в 9:00  в г,?,0.5819077975933153
175,1,−,0.6660039869260413
176,"Банкомат съел наличные и не зачислил на счёт! Вносила  наличные на счет, банкомат съел деньги , написал ошибка и выплюнул карту",−,0.7355166146261005
177,"Не хотел сюда писать, но видимо других путей достучаться до банка практически нет",−,0.869184050575038
178,"Банкоматы к Калининграде не работают, выдают ""ошибка операции""",−,0.9153664265510657
179,"ужасное обращение,ужасный сотрудник.по телефону б-ий а.с",−,0.9723187834920388
180,"Регистрировалась по ссылке друга, в обещанный период баллы не пришли",−,0.6467162796811717
181,"Добрый день! Вот не сталкивалась особо со Сбером, видимо, ангел-хранитель сильный",−,0.7667152933913575
182,Обратился в отделение МКБ в г,?,0.5756272458106875
183,"Бланк - довольно молодой сервис, но не уступает “китам”",−,0.5451416312929308
184,"Являюсь клиентом ""Тинькофф Банка"" полтора года, и с уверенностью могу сказать, что если это и не самый, то один из самых клиентоориентированных банков однозначно",−,0.41867425209916737
185,"Банк не первый раз названивает с угрозами и в грубой форме требует передать какие-то данные, информацию разным неизвестным мне лицам",−,0.9055011568923551
186,Добрый день! Хочу выразить благодарность отделению банка в городе Сочи на карла маркса 20,+,0.8200378153793126
187,"Соседка, при оформлении кредита, указала телефон моей матери (81 год) как контактный",+,0.41146994219878785
188,Я с 2016 года являюсь участником программы привелегия,?,0.5863326279967321
189,"Оформила дебетовую карту банка по акции с косметикой Letique, начисление кешбека до 1500р",?,0.4130841387299745
190,"Получала карту 23 марта, доставку осуществляла Елизавета Е-на М",?,0.4870589854237702
191,"Все меньше остается наших компаний, которые продолжают показывать высокий сервис",+,0.453689096264725
192,"Здравствуйте! Такая ситуация, являюсь клиентом Тинькофф уже очень продолжительное время (9 лет) и всегда всем рекомендовал",+,0.6994417636629682
193,Привет банку Тинькофф и отдельная благодарность за отличную работу менеджеру по работе с юридическими лицами Е-ой Людмиле ,+,0.9228175490233251
194,Всем здравствуйте! Хочу поделиться опытом пользования подпиской СберПрайм,+,0.49884858816395594
195,Обращался по поводу кешбека за бронирование отелей,+,0.5123607686891608
196,Крайне негативное впечатление от УБРиР,−,0.8851165819356009
197,"9.09.22 снимал деньги в офисе Привилегия в г.Н.Новгород, ул.М.Горького,152",?,0.5046620347705544
198,"28 мая я оплатил через приложение коммунальные платежи за свет и газ.Понадобились квитанции об оплате, но распечатать я их не смог",?,0.4904914521859402
199,Являюсь клиентом этого банка с 2016 года и вроде все устраивало,?,0.4740981456588087
200,Ипотечный договор №634/4250-0****39 от 27.04.2021 г,?,0.4855778955152526
201,"05.07.2022, Я посетил ДО ЦИК «Павелецкий» Банка ВТБ (ПАО) Мне хотелось открыть в банке дебетовую карту МИР, Открыть депозит и возможно подключить ВТБ Онлайн, чтобы следить за счетом и балансом дебетовой карты",+,0.4017521799954483
202,"«К сожалению, по результатам комплексной проверки по счету физического лица ограничено дистанционное обслуживание, возобновляться оно не будет.» - такое сообщение я получил от Тинокофф",−,0.7493954624236433
203,в конце ноября получила от банка СМС с предложением поучаствовать в акции,?,0.5782966499362995
